;kode_sarana;jenis_sarana;nama_pemilik;nama_daop;lokasi;tahun_pembuatan;umur;range_usia;asal_pabrikan
7;SN01501;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2015;6;<=10 th;LN
7;SN02101;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2021;0;<=10 th;LN
7;SN06401;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1964;57;>30 th;LN
7;SI37801;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1978;43;>30 th;LN
7;SN38203;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SN38202;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SI38002;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1980;41;>30 th;LN
7;SI38208;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SN38201;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SI38209;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SI38205;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SI38210;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SI38206;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SI38701;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1987;34;>30 th;LN
7;GB308437;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1984;37;>30 th;LN
