"7","DAOP 1 JAKARTA",NULL,NULL
"8","DAOP 2 BANDUNG",NULL,NULL
"9","DAOP 3 CIREBON",NULL,NULL
"10","DAOP 4 SEMARANG",NULL,NULL
"11","DAOP 5 PURWOKERTO",NULL,NULL
"12","DAOP 6 YOGYAKARTA",NULL,NULL
"13","DAOP 7 MADIUN",NULL,NULL
"14","DAOP 8 SURABAYA",NULL,NULL
"15","DAOP 9 JEMBER",NULL,NULL
"16","DIVRE I SUMATERA UTARA",NULL,NULL
"17","DIVRE II SUMATERA BARAT",NULL,NULL
"18","DIVRE III SUMATERA SELATAN",NULL,NULL
"24","PT KAI COMMUTER JABOTABEK",NULL,NULL
"25","BALAI PERAWATAN",NULL,NULL
"26","DIVRE IV LAMPUNG","2020-07-23 02:57:57","2020-07-23 02:57:57"
"27","PROV DKI JAKARTA","2020-07-23 02:59:12","2020-07-23 02:59:12"
"28","BTP JakBan","2021-07-09 02:03:45","2021-07-09 02:03:45"
"29","BTP Jabar","2021-07-09 02:03:54","2021-07-09 02:03:54"
"30","BTP Jateng","2021-07-09 02:04:01","2021-07-09 02:04:01"
"31","BTP Jatim","2021-07-09 02:04:15","2021-07-09 02:04:15"
"32","BTP Sumut","2021-07-09 02:04:42","2021-07-09 02:04:42"
"33","BTP Sumbar","2021-07-09 02:04:52","2021-07-09 02:04:52"
"34","BTP Sumsel","2021-07-09 02:05:00","2021-07-09 02:05:00"
"35","BTP Sulsel","2021-07-09 02:05:41","2021-07-09 02:05:41"
