;NOMOR_IDENTITAS;DAOP;DEPO;JENIS;TAHUN;DAOP2;DAOP3;NAMA_DAOP;NAMA_DAOP2;NAMA_DEPO
0;GB308401;DAOP 1;JAKG;GERBONG;84;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1;GB308403;DAOP 4;SMC;GERBONG;84;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
2;GB308406;DAOP 4;SMC;GERBONG;84;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
3;GB308407;DAOP 4;SMC;GERBONG;84;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
4;GB308409;DAOP 4;SMC;GERBONG;84;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
5;GB308410;DAOP 1;JAKG;GERBONG;84;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
6;GB308427;DAOP 4;SMC;GERBONG;84;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
7;GB308428;DAOP 1;JAKG;GERBONG;84;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
8;GB308429;DAOP 1;JAKG;GERBONG;84;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
9;GB308430;DAOP 1;JAKG;GERBONG;84;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
10;GB308458;DAOP 3;AWN;GERBONG;84;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
11;GD409225;DAOP 1;JAKG;GERBONG;92;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
12;GD409227;DAOP 6;RWL;GERBONG;92;DAOP;6;DAOP 6;DAOP 6;DEPO GERBONG RWL
13;GD409510;DAOP 1;JAKG;GERBONG;95;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
14;GD409515;DAOP 4;SMC;GERBONG;95;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
15;GD409520;DAOP 1;JAKG;GERBONG;95;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
