,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,NAMA_DAOP2,NAMA_DEPO,KODE_DEPO
0,GB308401,DAOP 1,JAKG,GERBONG,84,DAOP 1,DEPO GERBONG JAKG,19.0
1,GB308403,DAOP 4,SMC,GERBONG,84,DAOP 4,DEPO KERETA SMC,25.0
2,GB308406,DAOP 4,SMC,GERBONG,84,DAOP 4,DEPO KERETA SMC,25.0
3,GB308407,DAOP 4,SMC,GERBONG,84,DAOP 4,DEPO KERETA SMC,25.0
4,GB308409,DAOP 4,SMC,GERBONG,84,DAOP 4,DEPO KERETA SMC,25.0
5,GB308410,DAOP 1,JAKG,GERBONG,84,DAOP 1,DEPO GERBONG JAKG,19.0
6,GB308427,DAOP 4,SMC,GERBONG,84,DAOP 4,DEPO KERETA SMC,25.0
7,GB308428,DAOP 1,JAKG,GERBONG,84,DAOP 1,DEPO GERBONG JAKG,19.0
8,GB308429,DAOP 1,JAKG,GERBONG,84,DAOP 1,DEPO GERBONG JAKG,19.0
9,GB308430,DAOP 1,JAKG,GERBONG,84,DAOP 1,DEPO GERBONG JAKG,19.0
10,GB308458,DAOP 3,AWN,GERBONG,84,DAOP 3,DEPO GERBONG AWN,79.0
11,GD409225,DAOP 1,JAKG,GERBONG,92,DAOP 1,DEPO GERBONG JAKG,19.0
12,GD409227,DAOP 6,RWL,GERBONG,92,DAOP 6,DEPO GERBONG RWL,80.0
13,GD409510,DAOP 1,JAKG,GERBONG,95,DAOP 1,DEPO GERBONG JAKG,19.0
14,GD409515,DAOP 4,SMC,GERBONG,95,DAOP 4,DEPO KERETA SMC,25.0
15,GD409520,DAOP 1,JAKG,GERBONG,95,DAOP 1,DEPO GERBONG JAKG,19.0
16,GD409525,DAOP 1,JAKG,GERBONG,95,DAOP 1,DEPO GERBONG JAKG,19.0
17,GD409526,DAOP 1,JAKG,GERBONG,95,DAOP 1,DEPO GERBONG JAKG,19.0
18,GD409704,DAOP 4,SMC,GERBONG,97,DAOP 4,DEPO KERETA SMC,25.0
19,GD409708,DAOP 1,JAKG,GERBONG,97,DAOP 1,DEPO GERBONG JAKG,19.0
20,GD409720,DAOP 4,SMC,GERBONG,97,DAOP 4,DEPO KERETA SMC,25.0
21,GD409730,DAOP 1,JAKG,GERBONG,97,DAOP 1,DEPO GERBONG JAKG,19.0
22,GD409732,DAOP 1,JAKG,GERBONG,97,DAOP 1,DEPO GERBONG JAKG,19.0
23,GD421001,DAOP 1,RK,GERBONG,10,DAOP 1,DEPO KERETA RK,57.0
24,GD421002,DAOP 1,RK,GERBONG,10,DAOP 1,DEPO KERETA RK,57.0
25,GD421003,DAOP 1,RK,GERBONG,10,DAOP 1,DEPO KERETA RK,57.0
26,GD421004,DAOP 1,RK,GERBONG,10,DAOP 1,DEPO KERETA RK,57.0
