;NOMOR_IDENTITAS;DAOP;DEPO;JENIS
0;GB308401;DAOP 1;JAKG;GERBONG
1;GB308403;DAOP 4;SMC;GERBONG
2;GB308406;DAOP 4;SMC;GERBONG
3;GB308407;DAOP 4;SMC;GERBONG
4;GB308409;DAOP 4;SMC;GERBONG
5;GB308410;DAOP 1;JAKG;GERBONG
6;GB308427;DAOP 4;SMC;GERBONG
7;GB308428;DAOP 1;JAKG;GERBONG
8;GB308429;DAOP 1;JAKG;GERBONG
9;GB308430;DAOP 1;JAKG;GERBONG
10;GB308458;DAOP 3;AWN;GERBONG
11;GD409225;DAOP 1;JAKG;GERBONG
12;GD409227;DAOP 6;RWL;GERBONG
13;GD409510;DAOP 1;JAKG;GERBONG
14;GD409515;DAOP 4;SMC;GERBONG
15;GD409520;DAOP 1;JAKG;GERBONG
16;GD409525;DAOP 1;JAKG;GERBONG
17;GD409526;DAOP 1;JAKG;GERBONG
18;GD409704;DAOP 4;SMC;GERBONG
19;GD409708;DAOP 1;JAKG;GERBONG
20;GD409720;DAOP 4;SMC;GERBONG
21;GD409730;DAOP 1;JAKG;GERBONG
22;GD409732;DAOP 1;JAKG;GERBONG
23;GD421001;DAOP 1;RK;GERBONG
24;GD421002;DAOP 1;RK;GERBONG
25;GD421003;DAOP 1;RK;GERBONG
26;GD421004;DAOP 1;RK;GERBONG
27;GD421005;DAOP 1;RK;GERBONG
28;GD421006;DAOP 1;RK;GERBONG
29;GD421007;DAOP 1;RK;GERBONG
30;GD421008;DAOP 1;RK;GERBONG
31;GD421009;DAOP 1;RK;GERBONG
32;GD421010;DAOP 1;RK;GERBONG
33;GD421011;DAOP 1;RK;GERBONG
34;GD421012;DAOP 1;RK;GERBONG
35;GD421013;DAOP 1;RK;GERBONG
36;GD421014;DAOP 1;RK;GERBONG
37;GD421015;DAOP 1;RK;GERBONG
38;GD421016;DAOP 1;RK;GERBONG
39;GD421017;DAOP 1;RK;GERBONG
40;GD421018;DAOP 1;RK;GERBONG
41;GD421019;DAOP 1;RK;GERBONG
42;GD421020;DAOP 1;RK;GERBONG
43;GD421021;DAOP 1;RK;GERBONG
44;GD421022;DAOP 1;RK;GERBONG
45;GD421023;DAOP 1;RK;GERBONG
46;GD421024;DAOP 1;RK;GERBONG
47;GD421025;DAOP 1;RK;GERBONG
48;GD421027;DAOP 1;RK;GERBONG
49;GD421028;DAOP 1;RK;GERBONG
50;GD421029;DAOP 1;RK;GERBONG
51;GD421030;DAOP 1;RK;GERBONG
52;GD421031;DAOP 1;RK;GERBONG
53;GD421032;DAOP 1;RK;GERBONG
54;GD421033;DAOP 1;RK;GERBONG
55;GD421034;DAOP 1;RK;GERBONG
56;GD421035;DAOP 1;RK;GERBONG
57;GD421036;DAOP 1;RK;GERBONG
58;GD421101;DAOP 1;RK;GERBONG
59;GD421102;DAOP 1;RK;GERBONG
60;GD421103;DAOP 1;RK;GERBONG
61;GD421104;DAOP 1;RK;GERBONG
62;GD421105;DAOP 1;RK;GERBONG
63;GD421106;DAOP 1;RK;GERBONG
64;GD421107;DAOP 1;RK;GERBONG
65;GD421108;DAOP 1;RK;GERBONG
66;GD421109;DAOP 1;RK;GERBONG
67;GD421110;DAOP 1;RK;GERBONG
68;GD4211100;DAOP 1;RK;GERBONG
69;GD4211101;DAOP 1;RK;GERBONG
70;GD4211102;DAOP 1;RK;GERBONG
71;GD4211103;DAOP 1;RK;GERBONG
72;GD4211104;DAOP 1;RK;GERBONG
73;GD4211106;DAOP 1;RK;GERBONG
74;GD4211107;DAOP 1;RK;GERBONG
75;GD4211108;DAOP 1;RK;GERBONG
76;GD4211109;DAOP 8;SDT;GERBONG
77;GD421111;DAOP 1;RK;GERBONG
78;GD4211110;DAOP 8;SDT;GERBONG
79;GD4211111;DAOP 8;SDT;GERBONG
80;GD4211112;DAOP 8;SDT;GERBONG
81;GD4211113;DAOP 1;JAKG;GERBONG
82;GD4211114;DAOP 8;SDT;GERBONG
83;GD4211115;DAOP 8;SDT;GERBONG
84;GD4211116;DIVRE 3;SIG;GERBONG
85;GD4211117;DAOP 1;JAKG;GERBONG
86;GD4211118;DAOP 1;JAKG;GERBONG
87;GD4211119;DAOP 8;SDT;GERBONG
88;GD421112;DAOP 1;RK;GERBONG
89;GD4211120;DAOP 1;JAKG;GERBONG
90;GD4211121;DAOP 1;JAKG;GERBONG
91;GD4211122;DIVRE 3;SIG;GERBONG
92;GD4211123;DIVRE 3;SIG;GERBONG
93;GD4211124;DAOP 8;SDT;GERBONG
94;GD4211125;DAOP 8;SDT;GERBONG
95;GD4211126;DAOP 8;SDT;GERBONG
96;GD4211127;DIVRE 3;SIG;GERBONG
97;GD4211128;DIVRE 3;SIG;GERBONG
98;GD4211129;DAOP 8;SDT;GERBONG
99;GD421113;DAOP 1;RK;GERBONG
100;GD4211130;DAOP 8;SDT;GERBONG
101;GD4211131;DAOP 8;SDT;GERBONG
102;GD4211132;DAOP 1;JAKG;GERBONG
103;GD4211133;DAOP 1;JAKG;GERBONG
104;GD4211134;DAOP 1;JAKG;GERBONG
105;GD4211135;DAOP 1;JAKG;GERBONG
106;GD4211136;DIVRE 3;SIG;GERBONG
107;GD4211137;DAOP 1;JAKG;GERBONG
108;GD4211138;DIVRE 3;SIG;GERBONG
109;GD4211139;DAOP 8;SDT;GERBONG
110;GD421114;DAOP 1;RK;GERBONG
111;GD4211140;DAOP 1;JAKG;GERBONG
112;GD4211141;DAOP 8;SDT;GERBONG
113;GD4211142;DAOP 1;JAKG;GERBONG
114;GD4211143;DAOP 8;SDT;GERBONG
115;GD4211144;DAOP 1;JAKG;GERBONG
116;GD4211145;DAOP 8;SDT;GERBONG
117;GD4211146;DAOP 1;JAKG;GERBONG
118;GD4211147;DIVRE 3;SIG;GERBONG
119;GD4211148;DAOP 1;JAKG;GERBONG
120;GD4211149;DAOP 1;JAKG;GERBONG
121;GD421115;DAOP 1;RK;GERBONG
122;GD4211150;DAOP 1;JAKG;GERBONG
123;GD4211151;DAOP 8;SDT;GERBONG
124;GD4211152;DAOP 1;JAKG;GERBONG
125;GD4211153;DIVRE 3;SIG;GERBONG
126;GD4211154 ;DIVRE 3;SIG;GERBONG
127;GD4211155;DAOP 8;SDT;GERBONG
128;GD4211156;DAOP 8;SDT;GERBONG
129;GD4211157;DAOP 1;JAKG;GERBONG
130;GD4211158;DAOP 1;JAKG;GERBONG
131;GD4211159;DAOP 1;JAKG;GERBONG
132;GD421116;DAOP 1;RK;GERBONG
133;GD4211160;DAOP 8;SDT;GERBONG
134;GD4211161;DAOP 1;JAKG;GERBONG
135;GD4211162;DIVRE 3;SIG;GERBONG
136;GD4211163;DAOP 1;JAKG;GERBONG
137;GD4211164;DAOP 8;SDT;GERBONG
138;GD4211165;DAOP 1;JAKG;GERBONG
139;GD4211166;DAOP 1;JAKG;GERBONG
140;GD4211167;DAOP 8;SDT;GERBONG
141;GD4211168;DAOP 1;JAKG;GERBONG
142;GD4211169;DAOP 1;JAKG;GERBONG
143;GD421117;DAOP 1;RK;GERBONG
144;GD4211170;DAOP 1;JAKG;GERBONG
145;GD4211171;DAOP 1;JAKG;GERBONG
146;GD4211172;DAOP 1;JAKG;GERBONG
147;GD4211173;DAOP 1;JAKG;GERBONG
148;GD4211174;DAOP 1;JAKG;GERBONG
149;GD4211175;DAOP 1;JAKG;GERBONG
150;GD4211176;DAOP 1;JAKG;GERBONG
151;GD4211177;DAOP 1;JAKG;GERBONG
152;GD4211178;DAOP 1;JAKG;GERBONG
153;GD4211179;DAOP 1;JAKG;GERBONG
154;GD421118;DAOP 1;RK;GERBONG
155;GD4211180;DAOP 1;JAKG;GERBONG
156;GD4211181;DAOP 1;JAKG;GERBONG
157;GD4211182;DAOP 1;JAKG;GERBONG
158;GD4211183;DAOP 8;SDT;GERBONG
159;GD4211184;DAOP 1;JAKG;GERBONG
160;GD4211185;DAOP 1;JAKG;GERBONG
161;GD4211186;DAOP 1;JAKG;GERBONG
162;GD4211187;DAOP 8;SDT;GERBONG
163;GD4211188;DIVRE 3;SIG;GERBONG
164;GD4211189;DIVRE 3;SIG;GERBONG
165;GD421119;DAOP 1;RK;GERBONG
166;GD4211190;DAOP 1;JAKG;GERBONG
167;GD4211191;DAOP 1;JAKG;GERBONG
168;GD4211192;DAOP 1;JAKG;GERBONG
169;GD4211193;DAOP 8;SDT;GERBONG
170;GD4211194;DAOP 8;SDT;GERBONG
171;GD4211195;DAOP 1;JAKG;GERBONG
172;GD4211196;DAOP 1;JAKG;GERBONG
173;GD4211197;DAOP 1;JAKG;GERBONG
174;GD4211198;DAOP 8;SDT;GERBONG
175;GD4211199;DAOP 1;JAKG;GERBONG
176;GD421120;DAOP 1;RK;GERBONG
177;GD4211200;DAOP 1;JAKG;GERBONG
178;GD4211201;DIVRE 3;SIG;GERBONG
179;GD4211202;DAOP 1;JAKG;GERBONG
180;GD4211203;DAOP 1;JAKG;GERBONG
181;GD4211204;DAOP 1;JAKG;GERBONG
182;GD4211205;DAOP 8;SDT;GERBONG
183;GD4211206;DIVRE 3;SIG;GERBONG
184;GD4211207;DAOP 1;JAKG;GERBONG
185;GD4211208;DIVRE 3;SIG;GERBONG
186;GD4211209;DAOP 1;JAKG;GERBONG
187;GD421121;DAOP 1;RK;GERBONG
188;GD4211210;DAOP 1;JAKG;GERBONG
189;GD4211211;DAOP 1;JAKG;GERBONG
190;GD4211212;DAOP 1;JAKG;GERBONG
191;GD4211213;DAOP 1;JAKG;GERBONG
192;GD4211214;DAOP 1;JAKG;GERBONG
193;GD4211215;DAOP 1;JAKG;GERBONG
194;GD4211216;DIVRE 3;SIG;GERBONG
195;GD4211217;DAOP 1;JAKG;GERBONG
196;GD4211218;DAOP 1;JAKG;GERBONG
197;GD4211219;DAOP 1;JAKG;GERBONG
198;GD421122;DAOP 1;RK;GERBONG
199;GD4211220;DAOP 1;JAKG;GERBONG
200;GD4211221;DAOP 1;JAKG;GERBONG
201;GD4211222;DAOP 1;JAKG;GERBONG
202;GD4211223;DIVRE 3;SIG;GERBONG
203;GD4211224;DAOP 1;JAKG;GERBONG
204;GD4211225;DAOP 1;JAKG;GERBONG
205;GD4211226;DIVRE 3;SIG;GERBONG
206;GD4211227;DIVRE 3;SIG;GERBONG
207;GD4211228;DAOP 1;JAKG;GERBONG
208;GD4211229;DAOP 1;JAKG;GERBONG
209;GD421123;DAOP 1;RK;GERBONG
210;GD4211230;DAOP 1;JAKG;GERBONG
211;GD4211231;DIVRE 3;SIG;GERBONG
212;GD4211232;DAOP 1;JAKG;GERBONG
213;GD4211233;DAOP 1;JAKG;GERBONG
214;GD4211234;DAOP 1;JAKG;GERBONG
215;GD4211235;DAOP 8;SDT;GERBONG
216;GD4211236;DAOP 1;JAKG;GERBONG
217;GD4211237;DAOP 1;JAKG;GERBONG
218;GD4211238;DAOP 1;JAKG;GERBONG
219;GD4211239;DAOP 1;JAKG;GERBONG
220;GD421124;DAOP 1;RK;GERBONG
221;GD4211240;DAOP 1;JAKG;GERBONG
222;GD4211241;DAOP 1;JAKG;GERBONG
223;GD4211242;DAOP 1;JAKG;GERBONG
224;GD4211243;DAOP 1;JAKG;GERBONG
225;GD4211244;DAOP 1;JAKG;GERBONG
226;GD4211245;DAOP 1;JAKG;GERBONG
227;GD4211246;DIVRE 3;SIG;GERBONG
228;GD421126;DAOP 1;RK;GERBONG
229;GD4211267;DAOP 1;RK;GERBONG
230;GD4211268;DAOP 1;RK;GERBONG
231;GD421127;DAOP 1;RK;GERBONG
232;GD421128;DAOP 1;RK;GERBONG
233;GD4211280;DAOP 1;RK;GERBONG
234;GD4211281;DAOP 1;RK;GERBONG
235;GD421129;DAOP 1;RK;GERBONG
236;GD421130;DAOP 1;RK;GERBONG
237;GD421131;DAOP 1;RK;GERBONG
238;GD421132;DAOP 1;RK;GERBONG
239;GD421133;DAOP 1;RK;GERBONG
240;GD421134;DAOP 1;RK;GERBONG
241;GD421135;DAOP 1;RK;GERBONG
242;GD421136;DAOP 1;RK;GERBONG
243;GD421141;DAOP 1;RK;GERBONG
244;GD421142;DAOP 1;RK;GERBONG
245;GD421143;DAOP 1;RK;GERBONG
246;GD421144;DAOP 1;RK;GERBONG
247;GD421145;DAOP 1;RK;GERBONG
248;GD421146;DAOP 1;RK;GERBONG
249;GD421147;DAOP 1;RK;GERBONG
