,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,TAHUN_2,UMUR,RANGE_USIA
0,GB308401,DAOP 1,JAKG,GERBONG,84,1984,37,>30 th
1,GB308403,DAOP 4,SMC,GERBONG,84,1984,37,>30 th
2,GB308406,DAOP 4,SMC,GERBONG,84,1984,37,>30 th
3,GB308407,DAOP 4,SMC,GERBONG,84,1984,37,>30 th
4,GB308409,DAOP 4,SMC,GERBONG,84,1984,37,>30 th
5,GB308410,DAOP 1,JAKG,GERBONG,84,1984,37,>30 th
6,GB308427,DAOP 4,SMC,GERBONG,84,1984,37,>30 th
7,GB308428,DAOP 1,JAKG,GERBONG,84,1984,37,>30 th
8,GB308429,DAOP 1,JAKG,GERBONG,84,1984,37,>30 th
9,GB308430,DAOP 1,JAKG,GERBONG,84,1984,37,>30 th
10,GB308458,DAOP 3,AWN,GERBONG,84,1984,37,>30 th
11,GD409225,DAOP 1,JAKG,GERBONG,92,1992,29,21-30 th
12,GD409227,DAOP 6,RWL,GERBONG,92,1992,29,21-30 th
13,GD409510,DAOP 1,JAKG,GERBONG,95,1995,26,21-30 th
14,GD409515,DAOP 4,SMC,GERBONG,95,1995,26,21-30 th
15,GD409520,DAOP 1,JAKG,GERBONG,95,1995,26,21-30 th
16,GD409525,DAOP 1,JAKG,GERBONG,95,1995,26,21-30 th
17,GD409526,DAOP 1,JAKG,GERBONG,95,1995,26,21-30 th
18,GD409704,DAOP 4,SMC,GERBONG,97,1997,24,21-30 th
19,GD409708,DAOP 1,JAKG,GERBONG,97,1997,24,21-30 th
20,GD409720,DAOP 4,SMC,GERBONG,97,1997,24,21-30 th
21,GD409730,DAOP 1,JAKG,GERBONG,97,1997,24,21-30 th
22,GD409732,DAOP 1,JAKG,GERBONG,97,1997,24,21-30 th
23,GD421001,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
24,GD421002,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
25,GD421003,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
26,GD421004,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
27,GD421005,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
28,GD421006,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
29,GD421007,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
30,GD421008,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
31,GD421009,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
32,GD421010,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
33,GD421011,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
34,GD421012,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
35,GD421013,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
36,GD421014,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
37,GD421015,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
38,GD421016,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
39,GD421017,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
40,GD421018,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
41,GD421019,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
42,GD421020,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
43,GD421021,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
44,GD421022,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
45,GD421023,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
46,GD421024,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
47,GD421025,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
48,GD421027,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
49,GD421028,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
50,GD421029,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
51,GD421030,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
52,GD421031,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
53,GD421032,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
54,GD421033,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
55,GD421034,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
56,GD421035,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
57,GD421036,DAOP 1,RK,GERBONG,10,2010,11,11-20 th
58,GD421101,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
59,GD421102,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
60,GD421103,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
61,GD421104,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
62,GD421105,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
63,GD421106,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
64,GD421107,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
65,GD421108,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
66,GD421109,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
67,GD421110,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
68,GD4211100,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
69,GD4211101,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
70,GD4211102,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
71,GD4211103,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
72,GD4211104,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
73,GD4211106,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
74,GD4211107,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
75,GD4211108,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
76,GD4211109,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
77,GD421111,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
78,GD4211110,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
79,GD4211111,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
80,GD4211112,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
81,GD4211113,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
82,GD4211114,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
83,GD4211115,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
84,GD4211116,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
85,GD4211117,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
86,GD4211118,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
87,GD4211119,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
88,GD421112,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
89,GD4211120,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
90,GD4211121,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
91,GD4211122,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
92,GD4211123,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
93,GD4211124,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
94,GD4211125,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
95,GD4211126,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
96,GD4211127,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
97,GD4211128,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
98,GD4211129,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
99,GD421113,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
100,GD4211130,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
101,GD4211131,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
102,GD4211132,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
103,GD4211133,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
104,GD4211134,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
105,GD4211135,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
106,GD4211136,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
107,GD4211137,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
108,GD4211138,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
109,GD4211139,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
110,GD421114,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
111,GD4211140,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
112,GD4211141,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
113,GD4211142,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
114,GD4211143,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
115,GD4211144,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
116,GD4211145,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
117,GD4211146,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
118,GD4211147,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
119,GD4211148,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
120,GD4211149,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
