,id,kode_sarana,kode_sarana_lama,id_kartu,id_jenis,id_sub_jenis,seri,tahun_dinas,id_depo,status,negara_asal,tgl_uji_pertama,tgl_masa_uji,tgl_masa_perawatan,pabrikan,id_pemilik,created_at,last_update,DAOP,TAHUN,id_daops,NAMA_DEPO,KODE_DEPO
0,1,SR38401,MTT 2151,0,9,22,85,1984,43,Aktiv,,0000-00-00,2020-02-14,0000-00-00,PLASSER AND THEURER,2,0000-00-00 00:00:00,0000-00-00 00:00:00,DIVRE 1,84.0,16,,
1,2,SU07501,HKPW ,0,9,21,188,1975,49,Tidak Aktiv,,0000-00-00,0000-00-00,0000-00-00,(kosong),2,0000-00-00 00:00:00,0000-00-00 00:00:00,,,18,,
2,3,SU39501,EM - 120,0,9,21,190,1995,20,Tidak Aktiv,,0000-00-00,2021-08-19,0000-00-00,PLASSER AND THEURER,2,0000-00-00 00:00:00,0000-00-00 00:00:00,,,8,,
3,4,SC38301,HITACHI UDW 90,0,9,20,63,1983,66,Aktiv,,0000-00-00,0000-00-00,0000-00-00,HITACHI,2,0000-00-00 00:00:00,0000-00-00 00:00:00,DIVRE 4,83.0,26,DEPO LOKOMOTIF TANJUNG KARANG,
4,5,SC39301,GOTTWALD GS100.05,0,9,20,63,1993,48,Aktiv,,0000-00-00,0000-00-00,0000-00-00,GOTTWALD,2,0000-00-00 00:00:00,0000-00-00 00:00:00,BY LT,93.0,18,GOLONGAN FASILITAS KERJA,
5,6,SC39302,GOTTWALD GS100.05,0,9,20,63,1993,22,Aktiv,,0000-00-00,0000-00-00,0000-00-00,GOTTWALD,2,0000-00-00 00:00:00,0000-00-00 00:00:00,DAOP 3,93.0,9,DEPO LOKOMOTIF CIREBON,
6,10,SN00402,NR 26 / EX. GGW,0,9,19,174,2004,40,Aktiv,,0000-00-00,0000-00-00,0000-00-00,ARAD (RUMANIA),2,0000-00-00 00:00:00,0000-00-00 00:00:00,DAOP 9,4.0,15,DEPO LOKOMOTIF JEMBER,
7,11,SN01501,NR 19 / EX. GGW,0,9,19,169,1915,57,Aktiv,,0000-00-00,0000-00-00,0000-00-00,ARAD (RUMANIA),2,0000-00-00 00:00:00,0000-00-00 00:00:00,DAOP 1,15.0,7,DEPO LOKOMOTIF RANGKAS,
8,12,SN02101,GGR 2429,0,9,19,147,1921,14,Aktiv,,0000-00-00,0000-00-00,0000-00-00,ARAD (RUMANIA),2,0000-00-00 00:00:00,0000-00-00 00:00:00,DAOP 1,21.0,7,DEPO LOKOMOTIF TANAHABANG,
9,13,SN03101,NR 5 /EX.  GGW,0,9,19,177,1931,49,Aktiv,,0000-00-00,0000-00-00,0000-00-00,ARAD (RUMANIA),2,0000-00-00 00:00:00,0000-00-00 00:00:00,DIVRE 3,31.0,18,DEPO LOKOMOTIF KERTAPATI,
10,14,SN05801,KB3 58001 /EX.  GGW,0,9,19,161,1958,45,Aktiv,,0000-00-00,0000-00-00,0000-00-00,ARAD (RUMANIA),2,0000-00-00 00:00:00,0000-00-00 00:00:00,DIVRE 2,58.0,17,DEPO LOKOMOTIF PADANG,
