,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,tgl_masa_uji,STATUS_UJI
0,GB308401,DAOP 1,JAKG,GERBONG,2007-01-01,Kadaluarsa
1,GB308403,DAOP 4,SMC,GERBONG,2007-01-01,Kadaluarsa
2,GB308406,DAOP 4,SMC,GERBONG,2007-01-01,Kadaluarsa
3,GB308407,DAOP 4,SMC,GERBONG,2007-01-01,Kadaluarsa
4,GB308409,DAOP 4,SMC,GERBONG,2020-08-31,Kadaluarsa
5,GB308410,DAOP 1,JAKG,GERBONG,2007-01-01,Kadaluarsa
6,GB308427,DAOP 4,SMC,GERBONG,2020-11-28,Kadaluarsa
7,GB308428,DAOP 1,JAKG,GERBONG,2020-08-31,Kadaluarsa
8,GB308429,DAOP 1,JAKG,GERBONG,2007-01-01,Kadaluarsa
9,GB308430,DAOP 1,JAKG,GERBONG,2020-08-31,Kadaluarsa
10,GB308458,DAOP 3,AWN,GERBONG,2021-10-23,Kadaluarsa
11,GD409225,DAOP 1,JAKG,GERBONG,2020-04-18,Kadaluarsa
12,GD409227,DAOP 6,RWL,GERBONG,2020-08-31,Kadaluarsa
13,GD409510,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
14,GD409515,DAOP 4,SMC,GERBONG,2007-01-01,Kadaluarsa
15,GD409520,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
16,GD409525,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
17,GD409526,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
18,GD409704,DAOP 4,SMC,GERBONG,2020-08-31,Kadaluarsa
19,GD409708,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
20,GD409720,DAOP 4,SMC,GERBONG,2020-08-03,Kadaluarsa
21,GD409730,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
22,GD409732,DAOP 1,JAKG,GERBONG,2020-08-31,Kadaluarsa
23,GD421001,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
24,GD421002,DAOP 1,RK,GERBONG,2021-10-16,Kadaluarsa
25,GD421003,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
26,GD421004,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
27,GD421005,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
28,GD421006,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
29,GD421007,DAOP 1,RK,GERBONG,2020-08-03,Kadaluarsa
30,GD421008,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
31,GD421009,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
32,GD421010,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
33,GD421011,DAOP 1,RK,GERBONG,2020-09-21,Kadaluarsa
34,GD421012,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
35,GD421013,DAOP 1,RK,GERBONG,2020-09-21,Kadaluarsa
36,GD421014,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
37,GD421015,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
38,GD421016,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
39,GD421017,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
40,GD421018,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
41,GD421019,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
42,GD421020,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
43,GD421021,DAOP 1,RK,GERBONG,2020-04-18,Kadaluarsa
44,GD421022,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
45,GD421023,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
46,GD421024,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
47,GD421025,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
48,GD421027,DAOP 1,RK,GERBONG,2020-09-21,Kadaluarsa
49,GD421028,DAOP 1,RK,GERBONG,2020-08-03,Kadaluarsa
50,GD421029,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
51,GD421030,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
52,GD421031,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
53,GD421032,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
54,GD421033,DAOP 1,RK,GERBONG,2020-08-03,Kadaluarsa
55,GD421034,DAOP 1,RK,GERBONG,2020-08-03,Kadaluarsa
56,GD421035,DAOP 1,RK,GERBONG,2020-08-31,Kadaluarsa
57,GD421036,DAOP 1,RK,GERBONG,2020-04-18,Kadaluarsa
58,GD421101,DAOP 1,RK,GERBONG,2020-10-26,Kadaluarsa
59,GD421102,DAOP 1,RK,GERBONG,2020-04-18,Kadaluarsa
60,GD421103,DAOP 1,RK,GERBONG,2020-07-13,Kadaluarsa
61,GD421104,DAOP 1,RK,GERBONG,2020-04-18,Kadaluarsa
62,GD421105,DAOP 1,RK,GERBONG,2021-10-16,Kadaluarsa
63,GD421106,DAOP 1,RK,GERBONG,2020-04-18,Kadaluarsa
64,GD421107,DAOP 1,RK,GERBONG,2020-04-18,Kadaluarsa
65,GD421108,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
66,GD421109,DAOP 1,RK,GERBONG,2020-04-18,Kadaluarsa
67,GD421110,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
68,GD4211100,DAOP 1,RK,GERBONG,2020-07-13,Kadaluarsa
69,GD4211101,DAOP 1,RK,GERBONG,2020-04-18,Kadaluarsa
70,GD4211102,DAOP 1,RK,GERBONG,2007-01-01,Kadaluarsa
71,GD4211103,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
72,GD4211104,DAOP 1,RK,GERBONG,2020-04-18,Kadaluarsa
73,GD4211106,DAOP 1,RK,GERBONG,2020-07-13,Kadaluarsa
74,GD4211107,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
