;id;kode_sarana;kode_sarana_lama;id_kartu;id_jenis;id_sub_jenis;seri;tahun_dinas;id_daops;id_depo;status;negara_asal;tgl_uji_pertama;tgl_masa_uji;tgl_masa_perawatan;pabrikan;id_pemilik;created_at;last_update
0;7;SC30501;KIROW KRC 800 N;0;9;20;66;2005;30;20;Aktiv;;0000-00-00;0000-00-00;0000-00-00;KIROW AG;1;0000-00-00 00:00:00;0000-00-00 00:00:00
1;8;SC30502;KIROW KRC 800 N;0;9;20;66;2005;29;30;Aktiv;;0000-00-00;0000-00-00;0000-00-00;KIROW AG;1;0000-00-00 00:00:00;0000-00-00 00:00:00
2;1814;GB350901;ZZOW 351001;0;4;16;58;2009;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
3;1815;GB350902;ZZOW 351002;0;4;16;58;2009;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
4;1816;GB350903;ZZOW 351003;0;4;16;58;2009;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
5;1817;GB350904;ZZOW 351004;0;4;16;58;2009;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
6;1818;GB350905;ZZOW 351005;0;4;16;58;2009;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
7;1819;GB350906;ZZOW 351006;0;4;16;58;2009;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
8;1820;GB350907;ZZOW 351007;0;4;16;58;2009;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
9;1821;GB350908;ZZOW 351008;0;4;16;58;2009;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
10;1822;GB350909;ZZOW 351009;0;4;16;58;2009;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
11;1823;GB350910;ZZOW 351010;0;4;16;58;2009;25;71;Tidak Aktiv;;2009-12-28;2017-12-27;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
12;2772;GB351201; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
13;2773;GB351202; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
14;2774;GB351203; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
15;2775;GB351204; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
16;2776;GB351205; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
17;2777;GB351206; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
18;2778;GB351207; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
19;2779;GB351208; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
20;2780;GB351209; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
21;2781;GB351210; ;0;4;16;57;2012;28;71;Aktiv;;2009-12-28;2020-11-29;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
