,id,kode_sarana,kode_sarana_lama,id_kartu,jenis_sarana,id_sub_jenis,seri,tahun_dinas,id_depo,status,negara_asal,tgl_uji_pertama,tgl_masa_uji,tgl_masa_perawatan,pabrikan,created_at,last_update,nama_pemilik,nama_daop
7,11736,SR31404,MTT CSM 6042,0,Peralatan Khusus,22,0,2014,71,Aktiv,,2015-04-14,2016-04-14,0000-00-00,PLASSER AND THEURER,0000-00-00 00:00:00,0000-00-00 00:00:00,Ditjen Perkeretaapian,DAOP 1 JAKARTA
7,11,SN01501,NR 19 / EX. GGW,0,Peralatan Khusus,19,169,1915,57,Aktiv,,0000-00-00,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,12,SN02101,GGR 2429,0,Peralatan Khusus,19,147,1921,14,Aktiv,,0000-00-00,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,50,SN06401,NR 8505 / SN01002,0,Peralatan Khusus,19,179,2010,15,Aktiv,,0000-00-00,2019-10-20,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,53,SN31001,NW 87201,0,Peralatan Khusus,19,185,2010,17,Aktiv,,0000-00-00,0000-00-00,0000-00-00,PT INKA,0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,97,SI37801,K237802/KD2 78202,0,Peralatan Khusus,23,0,1978,14,Aktiv,,2009-12-28,0000-00-00,0000-00-00,NIPPON SHARYO (JEPANG),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,127,SK38701,K238702/KD2 87202,0,Peralatan Khusus,41,0,1987,17,Aktiv,,2009-12-28,0000-00-00,0000-00-00,NIPPON SHARYO (JEPANG),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1194,GB308458,ZZOW 30131,0,Gerbong,16,58,1984,19,Aktiv,,0000-00-00,2021-10-23,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1196,GB308460,ZZOW 30133,0,Gerbong,16,58,1984,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1201,GB308401,ZZOW 30076,0,Gerbong,16,58,1984,19,Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
