kode_sarana;kode_sarana_lama;id_kartu;id_jenis;id_sub_jenis;seri;tahun_dinas;id_daops;id_depo;status;negara_asal;tgl_uji_pertama;tgl_masa_uji;tgl_masa_perawatan;pabrikan;id_pemilik;created_at;last_update
SR38401;MTT 2151;0;9;22;85;1984;16;43;Aktiv;;0000-00-00;14/02/2020;0000-00-00;PLASSER AND THEURER;2;0000-00-00 00:00:00;0000-00-00 00:00:00
SU07501;HKPW ;0;9;21;188;1975;18;49;Tidak Aktiv;;0000-00-00;0000-00-00;0000-00-00;(kosong);2;0000-00-00 00:00:00;0000-00-00 00:00:00
SU39501;EM - 120;0;9;21;190;1995;8;20;Tidak Aktiv;;0000-00-00;19/08/2021;0000-00-00;PLASSER AND THEURER;2;0000-00-00 00:00:00;0000-00-00 00:00:00
SC38301;HITACHI UDW 90;0;9;20;63;1983;26;66;Aktiv;;0000-00-00;0000-00-00;0000-00-00;HITACHI;2;0000-00-00 00:00:00;0000-00-00 00:00:00
SC39301;GOTTWALD GS100.05;0;9;20;63;1993;18;48;Aktiv;;0000-00-00;0000-00-00;0000-00-00;GOTTWALD;2;0000-00-00 00:00:00;0000-00-00 00:00:00
SC39302;GOTTWALD GS100.05;0;9;20;63;1993;9;22;Aktiv;;0000-00-00;0000-00-00;0000-00-00;GOTTWALD;2;0000-00-00 00:00:00;0000-00-00 00:00:00
SN00402;NR 26 / EX. GGW;0;9;19;174;2004;15;40;Aktiv;;0000-00-00;0000-00-00;0000-00-00;ARAD (RUMANIA);2;0000-00-00 00:00:00;0000-00-00 00:00:00
SN01501;NR 19 / EX. GGW;0;9;19;169;1915;7;57;Aktiv;;0000-00-00;0000-00-00;0000-00-00;ARAD (RUMANIA);2;0000-00-00 00:00:00;0000-00-00 00:00:00
SN02101;GGR 2429;0;9;19;147;1921;7;14;Aktiv;;0000-00-00;0000-00-00;0000-00-00;ARAD (RUMANIA);2;0000-00-00 00:00:00;0000-00-00 00:00:00
SN03101;NR 5 /EX.  GGW;0;9;19;177;1931;18;49;Aktiv;;0000-00-00;0000-00-00;0000-00-00;ARAD (RUMANIA);2;0000-00-00 00:00:00;0000-00-00 00:00:00
SN05801;KB3 58001 /EX.  GGW;0;9;19;161;1958;17;45;Aktiv;;0000-00-00;0000-00-00;0000-00-00;ARAD (RUMANIA);2;0000-00-00 00:00:00;0000-00-00 00:00:00
SN07701;GGW 02/NR 02;0;9;19;149;1977;16;32;Aktiv;;0000-00-00;14/02/2019;0000-00-00;ARAD (RUMANIA);2;0000-00-00 00:00:00;0000-00-00 00:00:00
