,ID,NAMA_DAOP,NAMA_DEPO,NAMA_PEMILIK,JENIS,KOORDINAT_X,KOORDINAT_Y
25,71,BALAI PERAWATAN,BALAI PERAWATAN,Ditjen Perkeretaapian,Depo Sarana Penggerak,-7.143495,110.897592
7,19,DAOP 1 JAKARTA,DEPO GERBONG JAKARTAGUDANG,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.133301,106.818028
7,16,DAOP 1 JAKARTA,DEPO KERETA JAKARTAKOTA,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.134634,106.823285
7,67,DAOP 1 JAKARTA,DEPO KERETA JAKARTAMANGGARAI,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.212081,106.846845
7,57,DAOP 1 JAKARTA,DEPO KERETA RANGKAS BITUNG,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.352703,106.253297
7,72,DAOP 1 JAKARTA,DEPO KRL MANGGARAI,PT Kereta Commuter Indonesia,Depo Sarana Penggerak,-6.212741,106.850457
7,15,DAOP 1 JAKARTA,DEPO LOKOMOTIF CIPINANG,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-6.214354,106.880702
7,14,DAOP 1 JAKARTA,DEPO LOKOMOTIF TANAH ABANG,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-6.184171,106.810808
7,79,DAOP 1 JAKARTA,DEPO MEKANIK KARAWANG,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-6.306975,107.301324
8,21,DAOP 2 BANDUNG,DEPO KERETA BANDUNG,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.913966,107.594613
8,20,DAOP 2 BANDUNG,DEPO LOKOMOTIF BANDUNG,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-6.91339,107.599592
9,82,DAOP 3 CIREBON,DEPO GERBONG ARJOWINANGUN,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.64454,108.411692
9,23,DAOP 3 CIREBON,DEPO KERETA CIREBON,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.706306,108.55527
9,22,DAOP 3 CIREBON,DEPO LOKOMOTIF CIREBON,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-6.703374,108.55419
10,60,DAOP 4 SEMARANG,DEPO KERETA CEPU,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-7.155828,111.588028
