,Daop,Nama_Daop,Pemilik,Jenis,Koordinat_X,Koordinat_Y
0,DAOP 1 JAKARTA,Depo Lokomotif Jatinegara,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-6.214245,106.867028
1,DAOP 1 JAKARTA,Depo Kereta Jakarta Kota,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.134634,106.823285
2,DAOP 1 JAKARTA,Depo Gerbong Jakarta Gudang,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.133301,106.818028
3,DAOP 1 JAKARTA,Depo Kereta Rangkas Bitung,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.352703,106.253297
7,DAOP 2 BANDUNG,Depo Lokomotif Bandung,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-6.91339,107.599592
8,DAOP 2 BANDUNG,Depo Kereta / KRD Bandung,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.913966,107.594613
9,DAOP 3 CIREBON,Depo Lokomotif Cirebon,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-6.703374,108.55419
10,DAOP 3 CIREBON,Depo Kereta Cirebon,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.706306,108.55527
11,DAOP 4 SEMARANG,Depo Lokomotif Semarang Poncol,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-6.972914,110.414699
12,DAOP 4 SEMARANG,Depo Kereta Semarang Poncol,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-6.973328,110.413516
13,DAOP 4 SEMARANG,Depo Kereta Cepu,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-7.155828,111.588028
15,DAOP 5 PURWOKERTO,Depo Lokomotif Purwokerto,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-7.417357,109.221008
