"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"14/03/2019","6.388,63","6.384,74","6.390,19","6.376,91","6,99B","0,17%"
"13/03/2019","6.377,57","6.343,12","6.377,57","6.337,87","10,00B","0,37%"
"12/03/2019","6.353,77","6.395,88","6.404,43","6.339,97","8,45B","-0,20%"
"11/03/2019","6.366,43","6.418,88","6.420,78","6.366,04","9,73B","-0,26%"
"08/03/2019","6.383,07","6.439,84","6.442,20","6.381,73","9,26B","-1,16%"
"06/03/2019","6.457,96","6.460,81","6.473,01","6.424,26","9,11B","0,26%"
"05/03/2019","6.441,28","6.485,58","6.485,64","6.409,34","8,20B","-0,73%"
"04/03/2019","6.488,42","6.508,26","6.537,23","6.487,85","8,92B","-0,18%"
"01/03/2019","6.499,88","6.468,62","6.505,10","6.466,16","7,83B","0,88%"
"28/02/2019","6.443,35","6.526,93","6.526,93","6.433,24","10,02B","-1,26%"
"27/02/2019","6.525,68","6.532,04","6.539,28","6.499,81","8,94B","-0,23%"
"26/02/2019","6.540,95","6.527,72","6.540,95","6.497,76","11,20B","0,24%"
"25/02/2019","6.525,36","6.522,31","6.538,49","6.507,93","9,57B","0,37%"
"22/02/2019","6.501,38","6.518,19","6.530,22","6.481,48","10,16B","-0,56%"
"21/02/2019","6.537,77","6.510,57","6.539,07","6.498,99","10,20B","0,38%"
"20/02/2019","6.512,78","6.521,81","6.552,15","6.483,07","11,06B","0,28%"
"19/02/2019","6.494,67","6.500,70","6.534,01","6.493,31","9,84B","-0,05%"
"18/02/2019","6.497,81","6.428,28","6.501,03","6.425,92","9,78B","1,70%"
"15/02/2019","6.389,09","6.425,81","6.433,69","6.374,90","9,82B","-0,48%"
"14/02/2019","6.420,02","6.429,13","6.446,34","6.402,43","11,72B","0,01%"
"13/02/2019","6.419,12","6.445,18","6.456,57","6.398,89","12,26B","-0,11%"
"12/02/2019","6.426,32","6.503,05","6.513,10","6.392,24","11,82B","-1,06%"
"11/02/2019","6.495,00","6.523,70","6.535,18","6.494,12","9,50B","-0,41%"
"08/02/2019","6.521,66","6.513,74","6.526,87","6.498,97","9,66B","-0,23%"
"07/02/2019","6.536,46","6.556,11","6.563,98","6.517,23","11,51B","-0,17%"
"06/02/2019","6.547,88","6.503,58","6.552,22","6.503,58","10,68B","1,02%"
"04/02/2019","6.481,45","6.540,77","6.555,99","6.479,05","8,90B","-0,87%"
"01/02/2019","6.538,64","6.552,06","6.581,73","6.516,44","8,89B","0,09%"
"31/01/2019","6.532,97","6.491,39","6.544,48","6.491,39","10,43B","1,06%"
"30/01/2019","6.464,19","6.445,41","6.464,93","6.435,42","7,87B","0,43%"
"29/01/2019","6.436,48","6.454,47","6.485,25","6.428,47","7,31B","-0,34%"
"28/01/2019","6.458,71","6.488,90","6.501,09","6.433,82","9,55B","-0,37%"
"25/01/2019","6.482,84","6.474,16","6.498,33","6.470,12","9,20B","0,25%"
