,0,1,2,3,4,5,6,7,8
0,1,GT306401,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
1,2,GT306402,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
2,3,GT306403,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
3,4,GT306404,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
4,5,GT306405,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
5,6,GT306406,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
6,7,GT306407,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
7,8,GT306408,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
8,9,GT306409,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
9,10,GT306410,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
10,11,GT306411,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
11,12,GT306412,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
12,13,GT306413,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
13,14,GT306414,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
14,15,GT306415,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
15,16,GT306416,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
16,17,GT306417,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
17,18,GT306418,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
18,19,GT306419,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
19,20,GT306420,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
20,21,GT306421,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
21,22,GT306422,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
22,23,GT306423,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
23,24,GT306424,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
24,25,GT306425,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
25,26,GT306426,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
26,27,GT306427,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
27,28,GT306428,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
28,29,GT306429,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
29,30,GT306430,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
30,31,GT306431,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
31,32,GT306432,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
32,33,GT306433,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
33,34,GT306434,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
34,35,GT306435,Daop 5 Purwokerto,Depo Gerbong MA,TIDAK AKTIV,Gerbong,ARAD (RUMANIA),PT KAI,1964
