id;kode_sarana;kode_sarana_lama;id_kartu;jenis_sarana;sub_jenis_sarana;seri;tahun_dinas;id_daops;id_depo;status;negara_asal;tgl_uji_pertama;tgl_masa_uji;tgl_masa_perawatan;pabrikan;id_pemilik;created_at;last_update;expired_month;expired_year;status_masauji
14591;K101635;;;Kereta;8;0.0;2016;7;16;Aktiv;;08/06/2016;17/11/2019;0000-00-00;PT INKA;2;;;2019-11;2019;Expired
14585;K101629;;;Kereta;8;0.0;2016;7;16;Aktiv;;08/06/2016;17/11/2019;0000-00-00;PT INKA;2;;;2019-11;2019;Expired
14583;K101627;;;Kereta;8;0.0;2016;7;16;Aktiv;;08/06/2016;17/11/2019;0000-00-00;PT INKA;2;;;2019-11;2019;Expired
16103;P01903;;;Kereta;10;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16100;M101903;;;Kereta;11;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16099;M101902;;;Kereta;11;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16097;K301908;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16096;K301907;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16095;K301906;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16094;K301905;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16092;K301903;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16090;K301901;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16089;K101908;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
16087;K101906;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;01/02/2020;0000-00-00;PT INKA;2;;;2020-02;2020;Expired
